CNPJ;UF;Data;NF;Classificacao;Valor
21.704.783/0001-64;RJ;01/09/2016;90;ME; R$30.000,00 
21.704.783/0001-64;RJ;02/09/2016;91;ME; R$40.000,00 
03.117.734/0001-43;SP;03/09/2016;2000;MEI; R$444,00 
76.313.316/0001-03;SP;04/09/2016;111;MEI; R$4,00 
06.062.510/0001-70;SP;05/09/2016;222;; R$4.444,00 
16.474.789/0001-52;GO;06/09/2016;33333;; R$55,00 
84.846.156/0001-88;GO;07/09/2016;4444444;MEI; R$667,00 
49.740.886/0001-07;MA;08/09/2016;555;SA; R$666,00 
49.740.886/0001-07;MA;09/09/2016;400;; R$7.777,00 
21.704.783/0001-64;ES;10/09/2016;89;MEI; R$8.888.888,00 
