SISTEMA	DEPTO	SETOR         	SALARIO
RH  	DEPT. MKT	SETOR_A	1.807,00
RH  	DEPT. MKT	SETOR_A	5.475,83
RH  	DEPT. MKT	SETOR_A	2.600,00
RH  	DEPT. MKT	SETOR_A	1.329,25
RH  	DEPT. MKT	SETOR_A	1.820,00
RH  	DEPT. MKT	SETOR_A	3.770,00
RH  	DEPT. MKT	SETOR_A	2.600,00
RH  	DEPT. MKT	SETOR_A	1.495,00
RH  	DEPT. MKT	SETOR_A	6.997,39
RH  	DEPT. MKT	SETOR_A	11.974,29
RH  	DEPT. MKT	SETOR_A	1.820,00
RH  	DEPT. MKT	SETOR_A	4.972,50
RH  	DEPT. MKT	SETOR_A	1.495,00
RH  	DEPT. MKT	SETOR_A	1.820,00
RH  	DEPT. MKT	SETOR_A	3.575,00
RH  	DEPT. MKT	SETOR_A	1.820,00
RH  	DEPT. MKT	SETOR_A	1.820,00
RH  	DEPT. MKT	SETOR_A	1.300,00
RH  	DEPT. MKT	SETOR_A	1.612,00
RH  	DEPT. MKT	SETOR_A	6.671,22
RH  	DEPT. MKT	SETOR_A	10.776,87
RH  	DEPT. TI	SETOR_B	1.495,00
RH  	DEPT. TI	SETOR_B	5.475,83
RH  	DEPT. TI	SETOR_B	2.697,50
RH  	DEPT. TI	SETOR_B	2.372,50
RH  	DEPT. TI	SETOR_B	1.495,00
RH  	DEPT. TI	SETOR_B	7.866,63
RH  	DEPT. TI	SETOR_B	614,25
RH  	DEPT. TI	SETOR_B	2.925,00
RH  	DEPT. TI	SETOR_B	2.730,65
RH  	DEPT. TI	SETOR_B	3.900,00
RH  	DEPT. TI	SETOR_B	4.280,43
RH  	DEPT. TI	SETOR_B	2.730,65
RH  	DEPT. TI	SETOR_B	4.550,00
RH  	DEPT. TI	SETOR_B	3.900,00
RH  	DEPT. TI	SETOR_B	6.500,01
RH  	DEPT. TI	SETOR_B	3.900,00
RH  	DEPT. TI	SETOR_B	975
RH  	DEPT. TI	SETOR_B	3.367,00
RH  	DEPT. TI	SETOR_B	8.583,09
RH  	DEPT. TI	SETOR_B	1.625,00
RH  	DEPT. TI	SETOR_B	747,5
RH  	DEPT. TI	SETOR_B	1.365,00
RH  	DEPT. TI	SETOR_B	3.477,50
RH  	DEPT. TI	SETOR_B	1.365,00
RH  	DEPT. TI	SETOR_B	11.974,29
RH  	DEPT. TI	SETOR_B	2.925,00
RH  	DEPT. TI	SETOR_B	910
RH  	DEPT. TI	SETOR_B	9.998,40
RH  	DEPT. TI	SETOR_B	2.925,00
RH  	DEPT. TI	SETOR_B	2.925,00
RH  	DEPT. TI	SETOR_B	1.300,00
RH  	DEPT. TI	SETOR_B	3.900,00
RH  	DEPT. TI	SETOR_B	1.105,00
RH  	DEPT. TI	SETOR_B	1.235,00
RH  	DEPT. TI	SETOR_B	1.105,00
RH  	DEPT. FIN	SETOR_B	5.850,00
RH  	DEPT. FIN	SETOR_B	975
RH  	DEPT. FIN	SETOR_B	2.275,00
RH  	DEPT. FIN	SETOR_B	975
RH  	DEPT. FIN	SETOR_B	1.950,00
RH  	DEPT. FIN	SETOR_B	5.200,00
RH  	DEPT. FIN	SETOR_B	520
RH  	DEPT. FIN	SETOR_B	3.250,00
RH  	DEPT. FIN	SETOR_B	2.405,00
RH  	DEPT. FIN	SETOR_B	3.575,00
RH  	DEPT. FIN	SETOR_B	975
RH  	DEPT. FIN	SETOR_B	3.269,50
RH  	DEPT. FIN	SETOR_B	3.575,00
RH  	DEPT. FIN	SETOR_B	4.030,00
RH  	DEPT. FIN	SETOR_B	3.575,00
RH  	DEPT. FIN	SETOR_B	3.575,00
RH  	DEPT. FIN	SETOR_B	2.762,50
RH  	DEPT. FIN	SETOR_B	2.795,00
RH  	DEPT. FIN	SETOR_B	1.950,00
RH  	DEPT. FIN	SETOR_B	10.257,44
RH  	DEPT. FIN	SETOR_B	3.770,00
RH  	DEPT. FIN	SETOR_B	10.487,50
RH  	DEPT. FIN	SETOR_B	4.550,00
RH  	DEPT. FIN	SETOR_B	1.300,00
RH  	DEPT. FIN	SETOR_B	1.924,00
RH  	DEPT. FIN	SETOR_B	7.995,00
RH  	DEPT. FIN	SETOR_B	2.957,50
RH  	DEPT. FIN	SETOR_B	3.120,00
RH  	DEPT. FIN	SETOR_B	2.600,00
RH  	DEPT. FIN	SETOR_B	4.550,00
RH  	DEPT. FIN	SETOR_B	1.397,50
RH  	DEPT. FIN	SETOR_B	1.300,00
RH  	DEPT. FIN	SETOR_B	2.600,00
RH  	DEPT. FIN	SETOR_B	2.925,00
RH  	DEPT. CMP	SETOR_B	3.250,00
RH  	DEPT. CMP	SETOR_B	1.430,00
RH  	DEPT. CMP	SETOR_B	2.730,00
RH  	DEPT. CMP	SETOR_B	3.552,25
RH  	DEPT. CMP	SETOR_B	1.007,50
RH  	DEPT. CMP	SETOR_B	3.835,00
RH  	DEPT. CMP	SETOR_B	2.600,00
RH  	DEPT. CMP	SETOR_B	2.795,00
RH  	DEPT. CMP	SETOR_B	4.550,00
RH  	DEPT. CMP	SETOR_B	975
RH  	DEPT. CMP	SETOR_B	3.120,00
RH  	DEPT. CMP	SETOR_B	2.275,00
RH  	DEPT. CMP	SETOR_B	2.925,00
RH  	DEPT. CMP	SETOR_B	2.600,00
RH  	DEPT. CMP	SETOR_B	975
RH  	DEPT. CMP	SETOR_B	2.600,00
RH  	DEPT. CMP	SETOR_B	1.300,00
RH  	DEPT. CMP	SETOR_B	2.275,00
RH  	DEPT. CMP	SETOR_B	3.445,00
RH  	DEPT. CMP	SETOR_B	3.302,00
RH  	DEPT. CMP	SETOR_B	2.600,00
RH  	DEPT. CMP	SETOR_B	3.575,00
RH  	DEPT. CMP	SETOR_B	2.600,00
RH  	DEPT. CMP	SETOR_B	10.776,87
RH  	DEPT. CMP	SETOR_B	2.405,00
RH  	DEPT. CMP	SETOR_B	2.600,00
RH  	DEPT. CMP	SETOR_B	4.550,00
RH  	DEPT. CMP	SETOR_B	1.157,00
RH  	DEPT. CMP	SETOR_B	2.925,00
RH  	DEPT. CMP	SETOR_B	1.430,00
RH  	DEPT. CMP	SETOR_B	2.925,00
RH  	DEPT. CMP	SETOR_B	10.776,86
RH  	DEPT. CMP	SETOR_B	2.210,00
RH  	DEPT. CMP	SETOR_B	2.925,00
RH  	DEPT. CMP	SETOR_C	2.210,00
