SISTEMA	ADM         	ORGAO         	SALARIO
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.807,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 5.475,83 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.600,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.329,25 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.820,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.770,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.600,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.495,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.997,39 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 11.974,29 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.820,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.972,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.495,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.820,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.575,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.820,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.820,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.300,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.612,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.671,22 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 10.776,87 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.495,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 5.475,83 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.697,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.372,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.495,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 7.866,63 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 614,25 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.925,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.730,65 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.900,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.280,43 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.730,65 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.550,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.900,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.500,01 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.900,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.367,00 
